id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
2,Walter Hochstrasser-Stiftung,CHE-110.377.406,Zürich,Zürich,2,1,4,2,2,,5,"47.3765359,8.5480928",
3,Fondation iDrate,CHE-115.681.544,Conches,Genève,5,1,"2,4","1,2",2,"1,2,3,4,5,6",8,"46.1876631,6.1763323",
4,Stiftung Emilia Guggenheim-Schnurr der Naturforschenden Gesellschaft in Basel,CHE-101.985.541,Basel,Basel-Stadt,2,"1,2,3,4",2,1,"1,2","1,2",,"47.5566907,7.5787092",http://www.ngib.ch/stiftung-egs/
5,Stiftung Gandhi Hilfswerk Schweiz,CHE-114.260.370,Zürich,Zürich,5,"1,2","1,2,4",2,"1,2",,"4,5,6","47.3785825,8.4779987",
6,Sandoz - Fondation de Famille,CHE-110.403.618,Glarus,Glarus,4,"1,2,4",,"1,2","1,2","2,3,4,5,6","5,6,8","47.0395719,9.0687689",http://www.sandozfondation.ch/fr
7,Foundation - Global Risk Forum GRF Davos,CHE-114.620.712,Davos Platz,Graubünden,5,"1,2,3,4",2,"1,2",2,2,8,"46.7926247,9.8191515",http://grforum.org/
8,INSEL Foundation,CHE-113.309.832,Bern,Bern,4,"1,2,3,4","2,4",1,"1,2","2,3,4,5,6",,"46.9477087,7.4255497",
9,Fondation pour le développement durable des régions de montagne,CHE-109.398.637,Sion,Valais,5,"1,2,3,4",2,"1,2",2,1,8,"46.2351892,7.3552392",http://www.fddm.ch/fr/
10,BORNEO TROPICAL RAINFOREST FOUNDATION,CHE-110.530.211,Vernier,Genève,5,"1,2,3,4",1,"1,2",2,"1,2,3,4,5,6",8,"46.2141395,6.1111637",
11,Fondation Inartis,CHE-234.358.825,Savièse,Valais,4,"1,2,3,4",3,"1,2","1,2","1,2,3,4,5,6",8,"46.2673436,7.3562613",http://inartis.ch/
12,Stiftung Reiken-Patronat für akademische Nachdiplom- und Doktorandenstudien,CHE-101.308.263,Langnau am Albis,Zürich,5,"1,2","2,4",2,"1,2",,5,"47.2935950,8.5363970",
13,Stiftung zur Förderung der wirtschaftlichen Entwicklung von Glarus Süd,CHE-109.380.672,Schwanden GL,Glarus,2,4,2,1,"1,2","4,5,6",,"46.9952929,9.0685627",http://www.glarus.ch/xml_1/internet/de/application/d237/d262/f270.cfm
14,Thierry und Eliane Bollag-Strauss Stiftung,CHE-109.996.399,Zürich,Zürich,4,"1,2,3","1,2,4","1,2","1,2","1,2","2,3,4,5,6","47.3739646,8.5628804",
15,Stiftung Robert und Yvonne Peter-Aeby,CHE-111.654.703,Zürich,Zürich,4,"1,2,3","2,4",2,"1,2",,"4,5,6,7","47.3561744,8.5573416",
16,La Fondation Mondiale INSEAD (The INSEAD World Foundation),CHE-110.398.331,Genève,Genève,5,1,4,2,"1,2",,7,"46.1980968,6.1482733",https://www.insead.edu/give
17,SYNGENTA STIFTUNG FÜR NACHHALTIGE LANDWIRTSCHAFT,CHE-109.582.678,Basel,Basel-Stadt,5,"2,3,4","1,2",1,2,"2,3,4,5,6",,"47.5675554,7.6058069",https://www.syngentafoundation.org/
18,Fondazione Silvio Leoni,CHE-112.660.882,Riazzino,Ticino,5,1,"2,4","1,2",2,"1,2","5,6,7","46.1744390,8.8951150",
19,MDPI SUSTAINABILITY FOUNDATION,CHE-149.291.773,Basel,Basel-Stadt,5,1,5,1,2,1,,"47.5658293,7.5913505",http://wsforum.org/
20,"Stiftung-Eleonora-Susanna für den Natur-, Umwelt- und Tierschutz",CHE-110.413.120,Zürich,Zürich,5,"1,2,3","2,4",2,2,,"4,5,6,7","47.3627555,8.5527810",
21,Fondation Plenum,CHE-115.221.898,Genève,Genève,6,3,"2,3","1,2",2,1,8,"46.2024778,6.1613424",
22,Barramundi-Stiftung,CHE-299.888.241,Lengwil,Thurgau,5,"1,2,3,4","1,2,4",2,"1,2",,"2,3,4,5,6,7,8","47.6247891,9.1903801",
23,Wishdom International Foundation,CHE-113.691.922,Cham,Zug,5,"1,2,3,4",2,"1,2","1,2","1,2","1,2,3,4,5,6,7","47.1861207,8.4736495",
24,Stiftung zur Förderung der Trinkwasserqualität,CHE-110.096.491,Zürich,Zürich,5,"2,3,4",2,1,2,"1,2",,"47.3781412,8.5633116",
25,Stiftung Ambros Lüthi,CHE-183.003.611,Fribourg,Fribourg,4,1,2,"1,2",2,"1,2",5,"46.8177766,7.1729722",http://diuf.unifr.ch/al/de/node/32
26,Fondazione JAMINOR-INT.,CHE-149.050.666,Giubiasco,Ticino,5,"1,2,3,4",2,"1,2","1,2","1,2,3,4,5,6",8,"46.1821665,9.0262842",
27,Das hungernde Kind,CHE-110.394.155,Winterthur,Zürich,5,"1,2,3,4","2,4",1,"1,2","1,2",,"47.5086972,8.7256204",
28,Fondation d'impulsion technologique et économique (FITEC),CHE-113.677.804,Delémont,Jura,3,4,1,"1,2","1,2","2,3,4,5,6",8,"47.3673026,7.3435574",http://www.fitec.ch/
29,Gebert Rüf Stiftung,CHE-102.168.898,Zürich,Zürich,4,"2,4",2,1,"1,2","2,3,4,5,6",,"47.3675216,8.5547995",http://www.grstiftung.ch/de.html
30,SHIVA Stiftung,CHE-437.640.213,St. Gallen,St. Gallen,2,"2,3,4",1,"1,2",2,"1,2",8,"47.4237239,9.3728682",
31,UBS Stiftung für Soziales und Ausbildung,CHE-110.409.041,Zürich,Zürich,4,"1,3",2,2,"1,2",,"4,5,6,7","47.3719809,8.5381437",https://www.ubs.com/global/de/about_ubs/stiftungen/soziales.html
32,Hauser-Stiftung,CHE-110.172.229,Weggis,Luzern,4,"1,3","2,3,4",2,2,,8,"47.0390637,8.4427001",
33,Oikos - Stiftung für Oekonomie und Oekologie,CHE-110.383.217,St. Gallen,St. Gallen,3,1,2,"1,2",2,1,5,"47.4316121,9.3746170",http://www.iwoe.unisg.ch/de/institut/oikos
34,ICIMOD Stiftung,CHE-110.558.267,Bern,Bern,5,"2,3",2,"1,2","1,2","1,2","4,5,6","46.9474936,7.4449505",
35,Fonds vaudois du bois,CHE-110.205.975,Lausanne,Vaud,4,"1,2,3,4","1,2,3",2,2,,8,"46.5567716,6.6833176",
36,Fondation ImpactHope (Foundation ImpactHope),CHE-114.429.321,Bourguillon,Fribourg,5,3,2,2,"1,2",,8,"46.8006500,7.1771571",http://www.impacthope.net/index.php/fr/
37,Ypsomed Innovationsfonds,CHE-110.107.887,Burgdorf,Bern,2,4,"2,5",1,"1,2","3,4,5,6",,"47.0401198,7.6301580",http://www.innovationsfonds.ch/
38,"MAVA, Fondation pour la Nature",CHE-110.381.425,Gland,Vaud,5,"1,2,3,4",2,"1,2",2,"1,2,3,4,5,6",8,"46.4156948,6.2778411",http://fr.mava-foundation.org/
39,Ernst Hadorn-Stiftung,CHE-109.329.837,Zürich,Zürich,1,"1,2","2,4","1,2","1,2",1,"5,6","47.3698308,8.5438325",
40,Stiftung ERNE ambiente,CHE-110.268.639,Dällikon,Zürich,4,"1,2,3,4",2,1,2,"2,3,4,5,6",,"47.4462908,8.4346626",
41,Sozialfonds suissetec,CHE-111.704.583,Zürich,Zürich,4,"2,3","1,2",2,"1,2",,"4,5,6,7","47.3750459,8.5608375",
42,Kantensprung Stiftung,CHE-442.957.420,Basel,Basel-Stadt,5,3,2,1,"1,2","3,4",,"47.5409640,7.5931079",https://www.kantensprung-stiftung.ch/
43,Ignaz Staub-Stiftung,CHE-406.046.362,Ennetbürgen,Nidwalden,5,"1,3","1,4",2,"1,2",,8,"46.9877343,8.3984511",
44,Honegger-Stiftung,CHE-110.377.576,Glarus,Glarus,6,"1,2,3,4",2,1,2,"1,2",,"47.0407135,9.0675514",
45,Fondation du 175ème de la Caisse d'Epargne d'Aubonne,CHE-220.453.653,Aubonne,Vaud,5,"1,2,3,4",5,2,"1,2",,8,"46.4950276,6.3910082",
46,Foundation Ithaka Institute,CHE-114.920.048,Arbaz,Valais,6,"1,2,3,4",2,1,"1,2","2,3,4,5,6",,"46.2736178,7.3851224",http://www.ithaka-institut.org/en/home
47,CALEO Stiftung,CHE-112.039.920,Bellikon,Aargau,5,"1,3","1,2,5",1,"1,2","1,2",,"47.3902165,8.3428039",
48,Klimastiftung Schweiz,CHE-114.448.672,Zürich,Zürich,4,4,"1,2",1,"1,2","2,3,4,5,6",,"47.3592631,8.5351676",http://www.klimastiftung.ch/
49,Louise Blackborne-Stiftung,CHE-111.651.509,Bern,Bern,5,"2,3",1,"1,2","1,2","1,2",5,"46.9473759,7.4536854",
50,Stiftung Urwaldreservat Bödmeren,CHE-102.077.480,Schwyz,Schwyz,2,2,2,"1,2",2,"1,2",8,"47.0211804,8.6498478",http://www.boedmeren.ch/?page_id=36&lang=de
51,Schilling-Stiftung,CHE-110.399.158,Baden,Aargau,5,"3,4",2,2,"1,2",,"2,3,4","47.4761145,8.3085290",
52,Ernst und Jacqueline Weil-Stiftung,CHE-110.391.843,Zürich,Zürich,2,"1,2","1,2,4",2,"1,2",,"4,5,6","47.3806560,8.5629819",
53,Stiftung Wasserzyt,CHE-113.515.828,Spiez,Bern,5,"1,2,3,4",2,2,2,,8,"46.6916422,7.6819249",http://www.wasserzyt.ch
54,Stiftung Vision Zukunft,CHE-112.106.930,Aarau,Aargau,4,3,"1,2",2,2,,8,"47.3968358,8.0405333",http://www.vision-zukunft.ch
55,JAF Foundation (Switzerland),CHE-114.742.924,Basel,Basel-Stadt,5,"1,2,3","2,4",2,2,,"1,2,3,4,5,6,8","47.5526712,7.5854740",
56,Stiftung Salud y Vida,CHE-133.453.679,Basel,Basel-Stadt,5,"1,2,3,4",2,"1,2",2,"1,2",8,"47.5517499,7.6014182",
57,Fondation neuchâteloise des entreprises de plâtrerie-peinture pour la formation et le perfectionnement professionnels,CHE-110.112.575,Hauterive NE,Neuchâtel,3,"1,2,4",3,2,2,,7,"47.0087415,6.9710320",
58,JPlus - Stiftung für Energieeffizienz,CHE-262.268.908,Bettingen,Basel-Stadt,4,"1,2","2,4","1,2",1,"1,2","5,6","47.5694326,7.6610162",
59,Evariste Mertens-Stiftung zur Förderung der Gartenarchitektur und Landschaftsplanung in der Schweiz,CHE-110.378.015,Zürich,Zürich,4,"1,2,3","2,3,4,5","1,2",2,"1,2","4,6,7","47.3818149,8.5353261",
60,Dr. Willi Zeller-Stiftung,CHE-109.749.151,Zürich,Zürich,6,"2,3",2,"1,2",2,"1,2","1,2,3","47.3578369,8.5774990",
61,Entwicklungsfonds Seltene Metalle,CHE-109.946.326,Zürich,Zürich,5,"2,3,4","2,3","1,2","1,2","1,2",5,"47.3760824,8.5404533",http://www.esmfoundation.org/
62,3hf Stiftung Schweiz,CHE-112.332.113,Ennenda,Glarus,5,"1,2,3,4",2,"1,2",2,"1,2,3,4,5,6",8,"47.0431633,9.0738084",http://www.3hf.org/
63,Stiftung Ernst Witzig,CHE-110.379.641,Frauenfeld,Thurgau,4,"1,2","2,4","1,2","1,2","1,2","1,2,3,4,5,6","47.5629964,8.8715562",
64,Kristian Gerhard Jebsen Stiftung,CHE-465.901.873,Pfäffikon SZ,Schwyz,5,"2,3,4","1,2","1,2",2,"1,2","1,2,3,4,5,6,7","47.2021203,8.7773252",
65,Fondazione Adiuvare,CHE-169.377.449,Lugano,Ticino,6,"1,2,3,4","1,4",1,"1,2","1,2",,"45.9977800,8.9473708",
66,PORISTES STIFTUNG,CHE-114.886.753,Bern,Bern,5,"1,2,3","1,2,4","1,2","1,2","1,2","1,2,3","46.9485099,7.4469210",
67,Lindt Cocoa Foundation,CHE-472.907.355,Kilchberg ZH,Zürich,5,3,2,"1,2",2,"2,3,4,5,6",8,"47.3180696,8.5526154",http://lindtcocoafoundation.org
68,"Stiftung ""Hoffnung für notleidende Mitmenschen in Afrika"" (Hope)",CHE-114.580.834,Allenwinden,Zug,5,"2,3",1,2,2,,"2,3","47.1700534,8.5440131",
69,FONDAZIONE LA MARTINA,CHE-199.370.073,Chiasso,Ticino,4,4,1,"1,2",2,"1,2","4,5,6","45.8334144,9.0299958",https://www.lamartina.com/lm/it/it/aboutus
70,bilding - Schweizerische Stiftung zur Förderung des Ingenieurnachwuchses im Bauwesen,CHE-113.012.964,Bern,Bern,4,"1,2","1,5",2,1,,"3,4,5,6,8","46.9456137,7.4367936",http://www.bilding.ch
71,Hilfskasse für schweizerische Waldfachleute und deren Familienangehörige,CHE-114.098.193,Zürich,Zürich,4,"1,3","1,4",2,2,,7,"47.3834362,8.5423930",http://www.forstverein.ch/fileadmin/Datenordner/hilfskasse/Flyer_Hilfskasse_Forstverein_GzD_10.3.2016.pdf
72,Yvonne und Alberto Galbiati-Stiftung,CHE-114.668.386,Zürich,Zürich,4,"1,3,4",2,1,"1,2","3,4,5,6",,"47.3631887,8.5572914",http://www.galbiati-stiftung.ch/
73,Mekkihelp Stiftung,CHE-115.188.858,Wetzikon ZH,Zürich,5,3,1,2,2,,"2,3,4","47.3217901,8.7964125",
74,"Stiftung Forschung 3R (Vermindern, Verbessern und Vermeiden von Tierversuchen)",CHE-101.694.411,Münsingen,Bern,4,2,2,1,2,2,,"46.8687184,7.5633802",http://www.forschung3r.ch/index.html
75,Stiftung Drittes Millennium,CHE-110.403.883,Uetikon,Zürich,5,"1,2,3,4",2,2,"1,2",,"2,3,4,5,6,7","47.2685380,8.6863034",http://www.stiftung-drittes-millennium.com/en/stiftung/stiftungszweck.html
76,Stiftung IH&RA für die Zukunft,CHE-112.973.045,Zürich,Zürich,5,2,"1,2,3,4","1,2",2,2,"4,5,6","47.3818149,8.5353261",
77,Gamil-Stiftung,CHE-112.742.184,Küsnacht ZH,Zürich,5,"1,2,3","2,4","1,2","1,2","1,2","1,2,3,4,5,6,7","47.3299116,8.5824466",
78,(Fondazione Gerling) (Gerling Stiftung) (Gerling Foundation),CHE-110.395.137,Tegna,Ticino,5,"1,2,3,4","1,2,3,4","1,2",2,"1,2,3,4,5,6",8,"46.1128736,8.7026415",
79,KRÜGER FOUNDATION,CHE-311.863.610,Staad,St. Gallen,5,"1,2,3,4",2,"1,2",2,1,8,"47.4726540,9.5544326",http://www.krugerfoundation.org/
80,"Stiftung ""Ponte Projektfonds""",CHE-102.644.611,Zürich,Zürich,2,1,2,1,1,,,"47.3734407,8.5196461",http://www.ponteprojektfonds.ch/
81,Comanis Foundation,CHE-112.989.431,Bern,Bern,5,3,2,"1,2",2,2,"1,2,3,4,5","46.9505311,7.4579323",http://www.comanis.ch/en/purpose/purpose.htm
82,Hasler Stiftung,CHE-107.354.801,Bern,Bern,4,"1,2,3,4","1,2,4","1,2","1,2","2,3,4,5,6","2,3,4,5,6","46.9467224,7.4374059",http://www.haslerstiftung.ch/de/home
83,Albin-Pedrotti-Stiftung,CHE-109.988.678,St. Gallen,St. Gallen,4,"1,3",2,2,1,,8,"47.4295161,9.3793739",
84,Fondation pour la conservation de l'environnement (Foundation for Environmental Conservation),CHE-110.375.241,Morges,Vaud,4,"1,2,3,4",2,"1,2",2,"1,2,3,4,5,6",8,"46.5096852,6.4957529",
85,Peter und Anne Koechlin-Stiftung,CHE-102.004.191,Basel,Basel-Stadt,4,1,4,2,"1,2",,"5,6,7","47.5521345,7.6004167",
86,Fondation Horyou (Horyou Foundation),CHE-286.978.768,Genève,Genève,5,"1,3","1,4","1,2",2,"1,2",8,"46.1963848,6.1464742",https://www.horyou.com/
87,Stiftung für unternehmerische Entwicklung,CHE-113.330.884,Glattbrugg,Zürich,4,"1,3,4","1,4",1,1,"2,3,4,5,6",,"47.4327031,8.5587467",http://www.kmufuture.ch/
88,MON SOLEIL FONDAZIONE,CHE-380.335.130,Lugano,Ticino,5,"1,2,3,4",2,"1,2","1,2","1,2,3,4,5,6",8,"46.0090241,8.9502248",
89,HUMANITY INTERNATIONAL FOUNDATION SWITZERLAND,CHE-225.255.623,Luzern,Luzern,5,"1,2,3","1,4",2,"1,2",,8,"47.0618631,8.2740408",http://hifs.ch/
90,Lagrev Stiftung,CHE-109.988.879,Zürich,Zürich,6,"1,2,3,4","1,2,4",2,"1,2",,"2,3,4,5,6","47.3657437,8.5260534",
91,FONDATION PAUL DUBRULE,CHE-114.982.658,Genève,Genève,4,"1,2,3,4",2,"1,2","1,2",1,8,"46.1992477,6.1418140",
92,Stiftung Josef Binkert AG,CHE-113.775.192,Wallisellen,Zürich,4,1,5,2,"1,2",,"4,5,6,7","47.4156838,8.5821551",https://www.binkertag.ch/site/de-ch/Unternehmen/Sozial-Partnerschaft
93,FONDAZIONE DALLE MOLLE PER LA QUALITÀ DELLA VITA,CHE-109.833.780,Lugano,Ticino,5,"1,2,3,4",5,1,2,"2,3,4,5,6",,"46.0079693,8.9520041",http://www.dallemolle.ch/de/stiftung/prasentation
94,"Max Hauri, Stötzler - Stiftung",CHE-114.164.045,Habsburg,Aargau,1,1,4,2,"1,2",,"4,5,6","47.4639817,8.1893773",http://www.sch.ch/?rub=1476
95,Annette Ringier-Stiftung,CHE-243.593.911,Glarus,Glarus,5,"2,3,4","1,2",2,2,,5,"47.0425197,9.0659182",
96,Stiftung Pro Parpan,CHE-101.925.622,Parpan,Graubünden,1,1,"1,4",2,2,,8,"46.7614966,9.5584755",http://www.proparpan.ch/
97,AWUNI Stiftung für Tierschutz,CHE-194.458.542,Zumikon,Zürich,5,3,"1,2","1,2",2,1,8,"47.3297614,8.6319269",http://www.awuni.ch/page/
98,Margarethe und Rudolf Gsell-Stiftung,CHE-110.401.720,Basel,Basel-Stadt,4,"1,2,3,4",2,"1,2",2,2,"5,6,8","47.5610716,7.5941639",
99,Acél-Stiftung zur Förderung der Forschung in Betriebswissenschaften und Engineering,CHE-111.959.930,Zürich,Zürich,2,"2,3,4","1,2","1,2","1,2","2,3,4,5,6",5,"47.3918307,8.5004756",
100,Stiftung BASE (Basel Agency for Sustainable Energy),CHE-109.384.061,Basel,Basel-Stadt,5,"1,2,3,4",2,2,"1,2",,8,"47.5516742,7.5908396",http://energy-base.org/
101,Stiftung Licht Recycling Schweiz SLRS,CHE-112.333.325,Bern,Bern,5,"1,2,3,4",2,2,"1,2",,8,"46.9504635,7.4530769",http://www.slrs.ch/index-de.php?frameset=1
102,Lehrlingsstiftung suissetec aargau Gebäudetechnik-Genossenschaft,CHE-101.922.813,Aarau,Aargau,3,"2,3",1,2,1,,"4,7","47.3882956,8.0499596",
103,Stiftung Maximilian Bircher,CHE-462.493.145,Braunwald,Glarus,4,1,4,"1,2",2,"1,2",8,"46.9405508,8.9931156",http://www.bircher-benner.com/index.php?id=17&l=fr
104,Stiftung Jeruel,CHE-114.971.844,Langnau im Emmental,Bern,5,"2,3","1,2",2,2,,"1,2,3,4,5,6,7","46.9429820,7.7808962",http://www.jeruel.net/cms/
105,Lantal Foundation for Cultural and Sustainable Education,CHE-109.851.275,Langenthal,Bern,2,"1,2","2,4","1,2",2,"1,2","4,5,6,7","47.2146316,7.7779057",
106,M. & P.-A. Mathier Ausbildungsstiftung,CHE-110.620.015,Zürich,Zürich,5,1,"4,5",2,2,,5,"47.3675496,8.5415741",
107,Dr. Robert + Marlies Holzach - Stiftung,CHE-261.122.521,Küsnacht ZH,Zürich,4,1,4,2,"1,2",,"4,5,6,7,8","47.3254842,8.5844288",
108,Stiftung Grüner Bundesplatz,CHE-110.234.936,Zug,Zug,5,"1,2,3","1,2,4",1,"1,2","1,2",,"47.1700412,8.5155951",
109,Georg und Bertha Schwyzer-Winiker-Stiftung,CHE-104.901.807,Zürich,Zürich,3,2,2,"1,2",2,"1,2",5,"47.3663386,8.5290893",
110,Excellence Foundation Zurich for Economic and Social Research,CHE-192.122.522,Zürich,Zürich,1,"1,2","1,4","1,2",2,"1,2",5,"47.3729108,8.5500140",http://www.efzh.org/index.php?path=home
111,FREY CHARITABLE FOUNDATION,CHE-112.160.088,Freienbach,Schwyz,5,"1,2,3","1,4","1,2","1,2","1,2","2,3,4,5,6,7","47.2072910,8.7521722",
112,The Dunemere Foundation,CHE-350.649.256,Frauenfeld,Thurgau,5,"2,3","1,2","1,2",2,"1,2","1,2,3,4,5,6,7","47.5473268,8.9068842",
113,Fondation Bru,CHE-157.014.856,Genève,Genève,5,"1,3",2,"1,2",2,"1,2,3,4,5,6","2,3,4,5","46.1983673,6.1439374",http://www.fondation-bru.org/
114,Porter Foundation Switzerland,CHE-222.347.631,Verbier,Valais,5,"1,3","1,2,4",2,2,,8,"46.1002473,7.2217405",http://www.dameshirleyporter.net/philanthropy.html
115,Stiftung Isla,CHE-110.270.783,Braunau,Thurgau,6,"2,3",2,"1,2",2,2,"4,5,6,7","47.4986372,9.0589999",
116,Stiftung für Meereswissenschaft und -forschung,CHE-110.404.635,Zürich,Zürich,5,"1,2,3,4",2,1,2,"1,2",,"47.3670459,8.5373253",
117,"Stiftung Berthold Leibinger, Schweizerisches Zentrum zur Förderung industrieller Innovation",CHE-110.410.647,Grüsch,Graubünden,5,4,1,"1,2","1,2","3,4,5,6","4,5,6,7","46.9754163,9.6407317",
118,Bourse d'Etudes Rotary Porrentruy - Delémont,CHE-109.334.198,Delémont,Jura,4,1,4,2,"1,2",,"5,6,7","47.3705484,7.3422276",
119,Abisch-Frenkel-Stiftung,CHE-109.387.556,Basel,Basel-Stadt,5,2,2,"1,2","1,2","1,2",5,"47.5564370,7.5858599",
120,Peter Baumann Foundation,CHE-109.983.511,Altendorf,Schwyz,5,"1,2,3","2,4","1,2","1,2",2,"2,3,4,5,6","47.1863947,8.8301350",http://www.peterbaumannfoundation.org/
121,Stiftung Topas,CHE-114.143.020,Thalheim AG,Aargau,5,"1,2,3,4","1,2,4","1,2","1,2","1,2","1,2,3","47.4388529,8.1069616",
122,Schweizerische Orchideenstiftung Herbarium Jany Renz,CHE-109.548.026,Basel,Basel-Stadt,5,1,5,1,2,1,,"47.5361371,7.5886059",https://orchid.unibas.ch/index.php/en/
123,Stiftung UNESCO Welterbe Schweizer Alpen Jungfrau-Aletsch,CHE-114.017.639,Naters,Valais,2,3,"1,2","1,2",2,"1,2","2,3,4,5,6,7,8","46.3227190,7.9856722",https://www.jungfraualetsch.ch/de/traegerschaft/
124,Thomas Abegg Stiftung für Geist und Kultur,CHE-390.045.633,Wilen SZ,Schwyz,5,"1,2,3,4","2,4","1,2","1,2","1,2","4,5,6","47.1968261,8.7317480",
125,lastminute foundation,CHE-180.409.046,Chiasso,Ticino,5,"3,4","1,2","1,2","1,2","1,2,3,4,5,6",8,"45.8343767,9.0300237",http://lastminutefoundation.org/
126,Purpose Stiftung,CHE-291.307.433,Basel,Basel-Stadt,5,4,1,"1,2","1,2","2,3,4,5,6",8,"47.5565738,7.5883694",http://purpose.ag/
127,Stiftung zur Förderung der rechtlichen und wirtschaftlichen Forschung an der Universität Basel,CHE-110.385.305,Basel,Basel-Stadt,3,2,3,"1,2","1,2",1,5,"47.5587086,7.5869412",https://forschdb2.unibas.ch/inf2/rm_projects/object_view.php?r=403076&type=5
128,Fondation Esse Quam Videri,CHE-401.255.728,Cologny,Genève,6,"1,2,3,4",2,2,2,,8,"46.2165584,6.1809624",
129,Pefi Waldstiftung,CHE-110.196.738,Wohlen AG,Aargau,4,"1,3","2,3,5",2,2,,"2,3,8","47.3477629,8.2719800",http://www.waldprodukte.ch/pages/naturverein-wohlen/archiv.php
130,Fondation Philanthropique Next,CHE-170.186.206,Villars-sur-Glâne,Fribourg,5,"1,3,4",2,"1,2","1,2","2,3,4,5,6",8,"46.7987363,7.1266389",
131,Stiftung Jubiläum 2014,CHE-310.027.858,Liestal,Basel-Landschaft,3,4,"2,5",1,2,"3,4,5,6",,"47.4858080,7.7318994",
132,Fondazione Luigi Brentani,CHE-100.641.464,Lugano,Ticino,3,1,5,2,"1,2",,4,"46.0077848,8.9527342",
