id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
529,Marion Jean Hofer-Woodhead-Stiftung,CHE-110.409.489,Basel,Basel-Stadt,6,"1,2,3,4","1,2",1,2,"1,2",,"47.5537144,7.5924782",
530,Fondazione Don Bautista Gargantini per il sostegno allo sviluppo e all'educazione,CHE-109.830.089,Lugano,Ticino,5,"2,3",2,2,"1,2",,"1,2,3,4,5,6,7,8","46.0115227,8.9557689",
531,Fondation PVsyst,CHE-406.556.924,Satigny,Genève,5,3,2,2,"1,2",,8,"46.1971443,6.0488626",http://www.pvsyst.com/fr/
532,Forschungsstiftung Genaxen,CHE-114.081.011,Bern,Bern,6,"2,3,4",2,1,"1,2",1,,"46.9477087,7.4255497",
533,Max und Marlis Galliker Stiftung,CHE-112.955.320,Horw,Luzern,1,"1,3","1,2,4",2,2,,"1,2,3,4,5,6,7,8","47.0126229,8.3125069",
534,Fondation pour un Monde Biologique (The Organic World Foundation),CHE-115.305.093,Cointrin,Genève,5,"1,2,3,4",2,2,2,,8,"46.2281464,6.1041844",https://www.organicworldfoundation.ch/
535,Fondazione per la scienza,CHE-455.500.633,Mendrisio,Ticino,4,"1,2,3","3,4","1,2",2,"1,2,3,4,5,6",8,"45.8708348,8.9884734",http://www.fondazioneperlascienza.ch/
536,Stiftung Corymbo,CHE-109.823.988,Zürich,Zürich,5,"1,3",2,1,2,"2,3,4,5,6",,"47.3664923,8.5182899",https://corymbo.ch/
537,Stiftung Finanzplatz Basel,CHE-110.342.000,Basel,Basel-Stadt,1,"1,2,3,4",2,"1,2","1,2","1,2,3,4,5,6",8,"47.5597986,7.5931928",http://www.wsu.bs.ch/ueber-uns/partnerorganisationen/stiftung-finanzplatz-basel.html
538,Fondation Pierre et Nouky Bataillard,CHE-110.166.654,Chavannes-Renens,Vaud,4,"1,2,3,4",2,"1,2",2,"1,2,3,4,5,6",8,"46.5261362,6.6181507",https://fondationbataillard.ch/
539,Susanne und Martin Knechtli-Kradolfer-Stiftung,CHE-365.053.960,St. Gallen,St. Gallen,5,"1,3","1,2,3,4",2,2,,8,"47.4272683,9.3680098",
540,Argaman Foundation,CHE-114.371.035,Aubonne,Vaud,5,"1,2,3,4",2,2,2,,8,"46.4953291,6.3918325",
541,Solon-Stiftung,CHE-109.676.581,Luzern 7,Luzern,6,"1,2,3","1,4","1,2",2,"1,2","4,5,6,8","47.0501671,8.3024918",
542,Stiftung Vision Mitte,CHE-109.983.416,Windisch,Aargau,2,"1,2,3,4",2,2,2,,4,"47.4778864,8.2167194",
543,Stiftung Natur- und Tierpark Goldau,CHE-110.330.706,Goldau,Schwyz,4,"2,3",2,1,2,"1,2",,"47.0508789,8.5519183",http://www.tierpark.ch/ueber-uns/stiftung-natur-und-tierpark-goldau/
544,Irene-Stiftung,CHE-110.378.297,Zürich,Zürich,5,"1,3","2,4",2,2,,8,"47.3945726,8.5377579",http://www.irenestiftung.ch/
545,Helmut Fischer Stiftung,CHE-114.282.578,Baar,Zug,5,"1,2","1,4","1,2","1,2","2,3,4,5,6",5,"47.1953556,8.5243632",http://helmut-fischer-stiftung.ch/
546,Leo und Dora Krummenacher Stiftung,CHE-233.704.468,Hergiswil NW,Nidwalden,5,"1,2,3,4","1,2,3,4","1,2",2,"1,2","4,5,6,7,8","46.9930603,8.3050102",
547,Venusstiftung,CHE-114.759.617,Riken AG,Aargau,5,1,3,2,2,,8,"47.2718033,7.8494454",
548,Fondation d'aide sociale et culturelle du Canton de Vaud,CHE-116.081.772,Lausanne,Vaud,3,3,"2,3","1,2",2,"1,2",8,"46.5220970,6.6369415",https://www.entraide.ch/fr/vaud/obtenir-une-contribution
549,Stiftung für eine nachhaltige Ernährung durch die schweizerische Landwirtschaft,CHE-109.749.317,Brugg AG,Aargau,4,"2,3,4","2,3","1,2","1,2","1,2","1,2,3,4,5,6,7,8","47.4842317,8.2047270",
550,Regulus - Gemeinnützige Dachstiftung Königstern,CHE-130.738.654,Chur,Graubünden,5,"1,2,3","1,2,4,5","1,2",2,"1,2","4,5,6,8","46.8522885,9.5333409",
551,Swiss Philanthropy Foundation,CHE-111.798.093,Genève,Genève,5,3,"1,2",2,2,,8,"46.2062270,6.1417438",http://www.swissphilanthropy.ch/
552,Armin und Heidi Späni Stiftung,CHE-113.972.433,Kehrsiten,Nidwalden,5,"1,3","1,2,3,4",2,"1,2",,8,"46.9954193,8.3617419",
553,Fonds für Kulturpflanzenentwicklung,CHE-115.144.140,Feldbach,Zürich,5,"1,2,3,4",2,"1,2",2,"1,2","7,8","47.2393125,8.7883064",http://www.fondskulturpflanze.ch
554,Stiftung Henriette und Hans-Rudolf Dubach-Bucher,CHE-238.509.595,Luzern,Luzern,5,"1,2,3","2,3,4","1,2",2,2,"2,3,4,5,6,8","47.0653700,8.3106957",
555,Stiftung WirtschaftsSchule Thun,CHE-109.347.433,Thun,Bern,1,1,4,2,"1,2",,"2,3,4,5,6,7","46.7499831,7.6320373",http://www.wst.ch/die-wst/kommissionen/stiftung-wirtschaftsschule-thun
556,Fondazione Federico Zichy Thyssen,CHE-292.959.851,Lugano,Ticino,5,"1,2,3,4","2,4",2,2,,5,"46.0073167,8.9501807",
557,Maya Behn-Eschenburg Stiftung,CHE-114.019.609,Zürich,Zürich,5,"2,3",2,2,"1,2",,"1,2,3,4","47.3698308,8.5438325",
558,Geneva Agape Foundation (Fondation Agape Genève),CHE-379.581.142,Le Grand-Saconnex,Genève,5,"1,2,3,4",2,2,2,,8,"46.2298655,6.1285697",
559,JACOBS STIFTUNG,CHE-109.625.477,Zürich,Zürich,5,2,"2,4","1,2","1,2","1,2","1,2,3","47.3597065,8.5480707",http://jacobsfoundation.org/de/
560,Kairos-Stiftung zur Förderung der Forschung der Beziehungen der Schweiz zum Ausland,CHE-116.308.680,Zürich,Zürich,5,"1,2,3","2,4,5",1,"1,2","1,2",,"47.3721244,8.5392266",
561,Coralma Stiftung,CHE-114.366.985,Meggen,Luzern,2,"1,2,3",2,"1,2",2,"1,2",8,"47.0537501,8.3928212",
562,Stiftung der Baloise Bank SoBa zur Förderung der solothurnischen Wirtschaft,CHE-100.660.958,Solothurn,Solothurn,3,"1,2,4",5,"1,2","1,2","1,2,3,4,5,6",8,"47.2090871,7.5337835",https://www.baloise.ch/de/ueber-uns/engagement/stiftung-baloise-bank-soBa.html
563,Rudolf und Romilda Kägi - Stiftung,CHE-196.407.018,Männedorf,Zürich,2,"1,2,3","2,4","1,2",2,"1,2","5,6,8","47.2481107,8.7009925",
564,Stiftung Dreiklang für ökologische Forschung und Bildung,CHE-113.977.726,Basel,Basel-Stadt,6,"1,2,3,4","1,2,4","1,2",2,"1,2,3,4,5,6","4,6,7","47.5343410,7.5997798",
565,YouthAid Foundation,CHE-431.910.176,Zürich,Zürich,5,"1,2,3,4","1,2,4","1,2","1,2","1,2","2,3","47.3693159,8.5397229",
566,Fondation Lombard Odier,CHE-112.125.175,Genève,Genève,5,"2,3","1,2","1,2","1,2","1,2,3,4,5,6","4,5,6,7,8","46.2029913,6.1435832",http://www.fondationlombardodier.org/
567,Jacques und Susanna Chauvet Stiftung,CHE-110.412.184,Zürich,Zürich,6,"1,2,3,4",2,2,2,,"2,3,4,5,6","47.3554128,8.5314180",
568,Stiftung zur Förderung der Berufsausbildung im Strassenbau und in der Strassenverkehrstechnik,CHE-104.015.596,Zürich,Zürich,4,"1,2","1,4,5",2,2,,"6,7","47.3879283,8.5287508",http://www.vss.ch/fileadmin/redacteur/Alle_Files/VSS/VSS_2014.05.07_VSS_Stiftungsurkunde_d-f.pdf
569,"Fondazione Impiegati del Commercio, Locarno",CHE-179.961.532,Locarno,Ticino,1,1,"2,4",2,"1,2",,5,"46.1667617,8.7952214",
570,Omega Science Foundation,CHE-101.713.706,Biel/Bienne,Bern,5,"2,3","1,2",1,"1,2","1,2",,"47.1439234,7.2606655",
571,Stiftung für technologische Innovation - STI,CHE-112.348.539,Biel/Bienne,Bern,4,"1,4","1,2",1,1,"2,3,4,5,6",,"47.1405200,7.2427876",http://sti-stiftung.ch/acms/de/home/home/
572,Hansdieter und Thildy Kretschmer Stiftung,CHE-109.995.566,Neftenbach,Zürich,5,3,"1,2",2,2,,"2,3,4,5,6","47.5216840,8.6737619",
573,Fondazione Aldo e Cele Daccò per il progresso,CHE-439.293.157,Lugano,Ticino,2,"1,2,3,4",2,2,2,,"2,3,4,5,6,7","46.0056660,8.9514437",
574,Gomsinnova-Stiftung,CHE-110.331.031,Binn,Valais,3,"1,3,4","1,4","1,2",2,"1,2,3,4,5,6",8,"46.3639755,8.1839263",
575,Avina Stiftung,CHE-109.710.083,Hurden,Schwyz,5,"2,3,4","1,2","1,2","1,2","2,3,4,5,6","1,2,3,4,5,6,7","47.2133190,8.8001266",http://www.avinastiftung.ch/de/homepage
576,Fondation pour l'Infrastructure Durable (FID) (Sustainable Infrastructure Foundation (SIF)),CHE-495.504.732,Genève,Genève,5,"2,3",1,1,1,"1,2,3,4,5,6",,"46.1976586,6.1422332",http://www.public-sif-iiss.org/accueil
577,"Willy und Margherit Wölfli-Stiftung für den Natur-, Umwelt- und Tierschutz",CHE-110.327.070,Neerach,Zürich,5,"1,3","1,2,4",2,2,,"4,5,6,8","47.5105476,8.4636654",
578,Greenstyle-Foundation,CHE-184.477.590,Laax GR 2,Graubünden,2,"1,2,3,4",2,2,"1,2",,8,"46.8197971,9.2634725",
579,Fondation Pictet pour le développement,CHE-114.667.369,Anières,Genève,5,"1,3","2,4",2,"1,2",,5,"46.2747297,6.2201992",https://www.group.pictet/corporate/fr/home/about_pictet/corporate_citizenship/charitable_foundation.html
580,Pertsiounis Sotiris Stiftung,CHE-115.181.589,Bern,Bern,5,"2,3",2,2,"1,2",,"1,2,3,4,5,6,7,8","46.9487250,7.4553146",
581,Fondation Dutmala,CHE-447.866.664,Sion,Valais,5,3,1,2,2,,8,"46.2358403,7.3598791",
582,Stiftung Adrian Girard und dessen Nachkommen Maria Dorer-Girard und Arthur Girard,CHE-101.951.281,Grenchen,Solothurn,1,"1,3","1,2,4",2,2,,"3,4,5,6,7","47.1909612,7.3964567",
583,Spendenstiftung Bank Vontobel,CHE-110.234.592,Zürich,Zürich,5,"1,2,3","1,2,4","1,2","1,2","1,2","2,3","47.3649922,8.5347557",
584,Stiftung ProCare,CHE-115.296.301,Zürich,Zürich,6,"2,3","2,3","1,2",2,"2,3","4,5,6,7","47.3753007,8.5201082",
585,Karelsie Foundation,CHE-252.650.577,Zürich,Zürich,5,3,"1,2","1,2","1,2","1,2","1,2,3","47.3620161,8.5504983",https://karelsie.org/
586,Dr. Markus Guggenheim-Schnurr-Stiftung für Geschichte der Medizin und der Naturwissenschaften,CHE-101.953.268,Zürich,Zürich,4,"1,4","1,3,5",1,"1,2","1,2",,"47.3762085,8.5456995",http://www.guggenheim-schnurr.ch/
587,FONDATION INTERNATIONALE GUY DE ROTHSCHILD,CHE-110.410.506,Fribourg,Fribourg,5,"1,2,3,4",2,"1,2","1,2","1,2,3,4,5,6",8,"46.8011901,7.1516840",
588,McCall MacBain Foundation,CHE-113.481.678,Genève,Genève,5,"2,3,4",1,"1,2",2,1,8,"46.1982701,6.1437733",http://www.mccallmacbain.org/
589,Stiftung Res Bona,CHE-110.413.367,Birsfelden,Basel-Landschaft,5,"1,2,3","2,4",1,"1,2","1,2",,"47.5565994,7.6246520",
590,AGROGEN Stiftung,CHE-106.075.853,Lyssach,Bern,5,"1,2,3,4",2,"1,2","1,2","1,2,3,4,5,6",8,"47.0803238,7.5833182",
591,Raymund und Esther Breu-Stiftung,CHE-453.525.177,Pratteln,Basel-Landschaft,5,"2,3,4","1,2",2,2,,"1,2,3,4,5,6,7,8","47.5233456,7.7051451",
592,Maria und Heinrich Th. Uster-Stiftung,CHE-115.247.745,Wädenswil,Zürich,4,3,1,"1,2","1,2",1,"5,6,7","47.2295471,8.6709271",http://www.usterstiftung.ch/
593,Stiftung Horyzon,CHE-114.638.770,Olten,Solothurn,5,3,2,2,2,,"2,3,4,5,6,7,8","47.3497027,7.9112811",http://www.horyzon.ch/
594,Fondazione Giorgio Schwarz-Fraissinet,CHE-110.387.623,Vira,Ticino,2,"2,3",2,2,2,,8,"46.1434100,8.8406300",
595,Schörling Stiftung,CHE-300.436.712,Luzern,Luzern,5,"1,2","2,4",2,2,,8,"47.0465566,8.3044927",
596,Eidgenössische Stiftung zur Förderung schweizerischer Volkswirtschaft durch wissenschaftliche Forschung,CHE-110.291.851,Zürich,Zürich,4,4,2,1,"1,2","3,4,5,6",,"47.3843230,8.5444566",http://www.volkswirtschaft-stiftung.ch/
597,Alex Kaufmann Stiftung,CHE-113.236.854,St. Gallen,St. Gallen,2,3,2,2,"1,2",,8,"47.4250716,9.3763122",
598,The World Jewellery Confederation Educational Foundation - WJCEF,CHE-114.736.444,Bern,Bern,5,4,2,2,2,,8,"46.9485796,7.4467135",http://www.sustainablejewellery.org/index.php?option=com_content&view=article&id=3&Itemid=3
599,Stiftung Alpines Energieforschungscenter AlpEnForCe,CHE-386.554.268,Disentis/Mustér,Graubünden,2,"1,2,3,4",2,1,1,"1,2",,"46.7064633,8.8550210",
600,Starr International Foundation,CHE-113.227.200,Zug,Zug,5,"2,3",2,"1,2",2,2,"2,3,4,5,6","47.1787854,8.5180926",
601,BDN Engiadina Stiftung,CHE-114.439.644,Samedan,Graubünden,2,"1,3","2,4",2,2,,"4,5,6,7,8","46.5325850,9.8712053",
602,Fondazione Ferdinando e Laura Pica-Alfieri,CHE-110.320.731,Lugano,Ticino,2,"1,2,3,4",2,"1,2",2,"1,2","5,6,8","46.0064870,8.9542347",http://fondazionepicaalfieri.ch/
603,Fondation pour la protection phytosanitaire,CHE-101.660.607,Cernier,Neuchâtel,4,"2,3","1,2","1,2",2,"1,2,3,4,5,6",8,"47.0586943,6.9081921",
604,Hildegard Scherrer-Stiftung,CHE-178.628.171,Winterthur,Zürich,6,1,4,"1,2","1,2","1,2","4,5,6","47.4997411,8.7282099",
605,Josef und Paulette Binkert Stiftung,CHE-109.638.770,Wallisellen,Zürich,4,"1,2,3,4","4,5","1,2",1,3,"4,6,7","47.4156838,8.5821551",
606,Royal Döner Stiftung,CHE-463.980.471,Winterthur,Zürich,5,"1,2","1,4,5","1,2","1,2",1,"1,2,3,4,5,6,7,8","47.4994357,8.7611271",http://royal-stiftung.ch/
607,Foundation Eduki, CHE?438.015.845,Genève,Genève,4,"1,2",5,2,2,,"1,2,3,4,8","46.2254997,6.1340639",https://eduki.ch/index.php/de
608,Marianne & Benno Lüthi Stiftung,CHE-109.914.987,Forch,Zürich,5,"1,2,3","2,4","1,2",2,"1,2","4,5,6","47.3264670,8.6493964",
609,Fondation des Fondateurs,CHE-113.611.053,Zürich,Zürich,5,"1,2,3,4",1,"1,2","1,2","1,2,3,4,5,6","1,2,3,4,5,6,7","47.3702563,8.5460822",https://www.fondateurs.ch/en/home/?lang=set
610,LafargeHolcim Foundation for Sustainable Construction,CHE-110.476.586,Zürich,Zürich,5,4,5,1,1,"2,3,4,5,6",,"47.4148845,8.5599939",https://www.lafargeholcim-foundation.org/
611,MAX KOHLER STIFTUNG,CHE-110.199.613,Zürich,Zürich,5,"1,2,3","1,2,4,5","1,2","1,2","1,2","1,2,3,4,5,6","47.3741677,8.5352094",
612,Bio-Stiftung Schweiz,CHE-101.822.330,Romanshorn,Thurgau,5,3,3,"1,2",2,"1,2,3,4,5,6","4,5,6,7,8","47.5733647,9.3609305",http://www.bio-stiftung.ch/logicio/pmws/indexDOM.php?client_id=biostiftung&page_id=stiftung&lang_iso639=de
613,Fondation de l'Orangerie,CHE-114.156.755,Genève,Genève,6,"1,2,3,4",2,2,2,,8,"46.1958748,6.1479578",
614,Schweizerische Stiftung für Kunststoff-Reintegration,CHE-110.257.624,St. Gallen,St. Gallen,4,"2,3,4","1,2,3","1,2",2,"1,2,3,4,5,6","5,6","47.4126509,9.3407336",
615,LATOUR - Stiftung für Landwirtschaft und Tourismus,CHE-110.402.547,Davos,Graubünden,2,"1,2,4","2,4",2,2,,"4,5,6,8","46.8325430,9.8577325",
616,ProTier - Stiftung für Tierschutz und Ethik,CHE-387.401.822,Zürich,Zürich,5,3,1,"1,2",2,1,8,"47.3599213,8.5340559",http://www.protier.ch/site/index.cfm?fuseaction=home.main&vsprache=de
617,Stiftung zur Förderung der unabhängigen und nachhaltigen Konsumenteninformation,CHE-110.441.501,Kloten,Zürich,4,"2,3,4",2,"1,2",2,"1,2",8,"47.4487673,8.5785430",
618,Dr. med. Henrich ProVegan Stiftung,CHE-329.948.708,Kreuzlingen,Thurgau,5,"1,3","2,3,4","1,2",2,"2,3",8,"47.6472386,9.1752580",https://www.provegan.info/de/
619,SWISSCROSS Foundation - eine Stiftung zum Schutz der Opfer von Krieg und Naturkatastrophen,CHE-280.444.853,Zürich,Zürich,5,"1,2,3,4",2,"1,2","1,2","1,2","2,3,4,5,6,7","47.3633331,8.5469811",
620,Templeton Charity Foundation Switzerland,CHE-207.400.962,Zürich,Zürich,5,3,"2,3",1,"1,2",2,,"47.3657437,8.5260534",http://www.templetonworldcharity.org/
621,Werner Steinegger Stiftung,CHE-109.808.316,Küsnacht,Zürich,4,"1,4","2,4",1,"1,2","2,3,4,5,6",,"47.3150196,8.5973387",
622,Ulrich und Klara Huber-Reber-Stiftung,CHE-110.377.731,Basel,Basel-Stadt,2,3,1,"1,2",2,1,8,"47.5521345,7.6004167",
623,Dr. Henri und Andrée Schramek-Frank Stiftung,CHE-100.675.598,Basel,Basel-Stadt,2,2,1,"1,2",2,1,"5,6","47.5523996,7.5938029",
624,Robert und Ruth Heuberger-Stiftung,CHE-101.776.049,Winterthur,Zürich,4,"2,3",2,"1,2","1,2","1,2,3,4,5,6",8,"47.5050643,8.7255192",http://www.siska.ch/siska/stiftung/
625,Fondazione Pellicano,CHE-114.538.878,Lugano,Ticino,5,"2,3,4","1,2,3",2,"1,2",,"1,2,3,4,5,6,7","46.0067271,8.9584157",
626,Stiftung zur Förderung der Forschung und Ausbildung in Unternehmenswissenschaften an der ETH Zürich,CHE-101.003.237,Zürich,Zürich,3,"1,2","1,4","1,2","1,2","1,2",5,"47.3677948,8.5454725",
627,Stiftung Akademie für die Wissenschaft der Zukunft in Europa (AFFS),CHE-110.285.566,Bischofszell,Thurgau,5,"1,2,3,4","1,4","1,2",2,"1,2",8,"47.4942713,9.2376077",http://conference.keysofenoch.eu/fr/
628,Stiftung Gartenbau,CHE-101.713.563,Wädenswil,Zürich,2,2,2,"1,2",2,2,"4,5,6,7","47.2181101,8.6791294",
629,RAM Active Philanthropy Foundation,CHE-288.441.918,Genève,Genève,5,3,2,"1,2",2,1,8,"46.2037203,6.1486994",http://ram-ai.com/fr/philanthropy/
630,Ursula Wirz-Stiftung,CHE-113.802.340,Bern,Bern,4,"1,2,3,4","1,2,4,5","1,2","1,2","1,2,3,4,5,6","4,5,6,7","46.9402343,7.4312253",http://www.ursulawirz-stiftung.ch/
631,TARBACA INDIGO FOUNDATION,CHE-471.310.574,Zürich,Zürich,5,"1,2,3","2,4","1,2","1,2","1,2","4,5,6,7,8","47.3741677,8.5352094",
632,Albert Koechlin Stiftung AKS,CHE-104.791.714,Luzern,Luzern,2,"1,3","2,5",2,2,,8,"47.0507870,8.3040433",http://www.aks-stiftung.ch/stiftung
633,Ernst Göhner Stiftung,CHE-108.139.493,Zug,Zug,4,"2,3",2,"1,2","1,2",2,"5,6","47.1621610,8.5138945",http://www.ernst-goehner-stiftung.ch/
634,Zupo Stiftung,CHE-113.871.708,Herrliberg,Zürich,5,"2,3","1,2","1,2",2,"1,2","1,2,3,4,5,6,7","47.2918942,8.6193265",
635,Fondation Prix Louis Lachat,CHE-112.668.429,Porrentruy,Jura,3,1,2,"1,2","1,2","1,2,3,4,5,6","5,6","47.4224337,7.0837791",http://www.jciporrentruy.ch/page/pll
636,Fondation Ernest Dubois,CHE-108.761.356,Saint-Sulpice (VD),Vaud,3,"1,2,3,4","2,5","1,2",2,"1,2,3,4,5,6",8,"46.5154362,6.5668499",http://fondat11.myhostpoint.ch/
637,Fondation H&B Agerup (H&B Agerup Foundation),CHE-248.803.926,Genève,Genève,5,3,2,2,2,,8,"46.2095320,6.1475095",http://www.fondationhbagerup.org/
638,Stiftung Mercator Schweiz,CHE-109.528.408,Zürich,Zürich,4,"2,3",2,"1,2",2,"1,2","1,2,3,4,5,6,7,8","47.3678154,8.5324747",http://www.stiftung-mercator.ch/de/stiftung/
639,Stiftung Basler Kantonalbank zur Förderung von Forschung und Unterricht der Wirtschaftswissenschaften an der Universität Basel,CHE-101.816.743,Basel,Basel-Stadt,3,1,4,"1,2","1,2","1,2",5,"47.5527270,7.5936211",
640,Fondation Felicia,CHE-257.023.206,Genève,Genève,6,3,"1,2","1,2",2,1,8,"46.2038339,6.1559117",
641,U21Education Foundation,CHE-286.179.477,Zürich,Zürich,5,1,4,2,"1,2",,"2,3,4,5,6","47.3693159,8.5397229",
642,"Fondation les pierres, le regard et la nature",CHE-113.907.370,Ménières,Fribourg,4,1,"2,4","1,2",2,1,"1,2,3,4,5,6,7,8","46.7855588,6.8860951",
643,Zürcher Stiftung für Textil-Forschung,CHE-101.728.719,Winterthur,Zürich,4,"1,2,3,4",2,1,2,"2,3,4",,"47.4852218,8.7067133",
644,"STIFTUNG EUROPÄISCHES INSTITUT FÜR ÖKOLOGIE UND GESUNDHEIT, ZÜRICH",CHE-115.374.303,Zürich,Zürich,5,"1,2,3,4","1,2,3","1,2",2,2,8,"47.3818149,8.5353261",
645,International Academy for Multilingual Education and Talent Development in Liquidation,CHE-115.274.966,Zürich,Zürich,5,"2,3","1,2","1,2","1,2","1,2","1,2,3,4,5,6,7,8","47.3700589,8.5450156",
646,Berufsbildungsstiftung der VSSM-Fachgruppe Holzgerätebau,CHE-101.953.357,Zürich,Zürich,4,1,4,2,2,,7,"47.3800956,8.5539911",
647,Bernische Radium-Stiftung,CHE-114.757.357,Bern,Bern,4,"1,2,3,4","2,5",1,2,"1,2",,"46.9477341,7.4247622",
648,Fondation Bernard,CHE-300.099.595,Lausanne,Vaud,5,3,2,"1,2",2,1,8,"46.5181993,6.6379201",
649,Stiftung Monte Mediterráneo,CHE-113.778.144,Chur,Graubünden,5,1,4,2,2,,8,"46.8479578,9.5324903",http://www.fundacionmontemediterraneo.com/
650,Fondazione Istituto Leonardo da Vinci,CHE-112.641.459,Lugano,Ticino,5,2,1,2,"1,2",,"2,3,4","46.0006980,8.9491683",http://ldavinci.org/chi-siamo.html
651,Anna-Maria-Wili-Stiftung,CHE-109.599.035,Kriens,Luzern,5,"1,2","2,4","1,2","1,2","1,2","4,5,6,8","47.0354069,8.2882523",
652,Stiftung Umweltbildung und Tourismus Uri-Gotthard,CHE-109.810.359,Göschenen,Uri,2,"1,2,3,4",2,2,2,,"1,2,3,4,5,6,7,8","46.6682035,8.5867271",
653,Brodtbeck Philanthropy Foundation,CHE-169.875.575,Pratteln,Basel-Landschaft,5,"1,3","1,2",2,2,,"4,5,6","47.5256049,7.6838713",
654,Kodu Stiftung,CHE-110.192.278,Schwyz,Schwyz,4,"2,3","2,3","1,2",2,"1,2","5,6","47.0212859,8.6509289",
655,Bristol-Stiftung,CHE-104.066.642,Zürich,Zürich,5,3,1,1,2,"1,2,3,4,5,6",,"47.3642174,8.5490462",http://www.bristol-stiftung.ch/
656,Stiftung Green Ethiopia,CHE-111.702.265,Winterthur,Zürich,5,2,3,2,2,,"2,3,4,5,6,7,8","47.4832253,8.7761976",http://www.greenethiopia.org/cms/de/
